target	response	Score_Wyatt	question
sandstone	sand	1	_________________ is a very common rock that is formed when sand grains are cemented together.
iron	ione	1	____________________ is a type of mineral that is also a metal.
quartzite	qurtes	1	____________________ is formed when sand gets a lot of heat and pressure.
quartzite	quirtz	1	____________________ is formed when sand gets a lot of heat and pressure.
mouth; triangle	"mouth triangle
"	0.5	A delta is a landform that is formed at the ____________________ of a river. It is often shaped like a ______________________.
source	soucor	1	"A river begins at a _________________, which is the original point from which the river flows."
original	begining	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beggining	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	begin	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	begging	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning      	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beggining	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beging	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	1	"A river begins at a source, which is the __________________ point from which the river flows."
original	beging	1	"A river begins at a source, which is the __________________ point from which the river flows."
"body of water, such as a lake or ocean"	lake or ocean	1	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	lake or ocean	1	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	lake or oeacn	1	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	ocean or lake	1	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	lake or ocean	1	"A river ends at a mouth, which is where the river flows into another ________________________."
sedimentary	I don't know		A rock that is made from other materials is what type of rock?
other materials	other rocks	1	A sedimentary rock is a rock that is made from ____________________.
other materials	rocks	1	A sedimentary rock is a rock that is made from ____________________.
other materials	cetiment	1	A sedimentary rock is a rock that is made from ____________________.
other materials	many minerals	1	A sedimentary rock is a rock that is made from ____________________.
other materials	other rock	1	A sedimentary rock is a rock that is made from ____________________.
other materials	different minerals. 	1	A sedimentary rock is a rock that is made from ____________________.
shells; skeletons; remains	bones skeletons rocks	0.67	"Limestone is a rock that is often formed from the _________________, ___________________, and other ________________ of old sea life."
shells; skeletons; remains	old and differnt  miteral also dead	0.33	"Limestone is a rock that is often formed from the _________________, ___________________, and other ________________ of old sea life."
shells; skeletons; remains	"skeletons,shells,remains"	0.67	"Limestone is a rock that is often formed from the _________________, ___________________, and other ________________ of old sea life."
longest	largest	0	The _______________ river in the United States is the Missouri River.
longest	largest	0	The _______________ river in the United States is the Missouri River.
biggest	largest	1	The ___________________ river in the United States is the Mississippi River.
biggest	largest	1	The ___________________ river in the United States is the Mississippi River.
biggest	laergges	1	The ___________________ river in the United States is the Mississippi River.
because it has the largest amount of water and it is deeper	"it has the largest amount of water and the biggest length
"	0.5	The biggest river is the Mississippi River. Why is it the biggest?
because it has the largest amount of water and it is deeper	because it is very large	0.5	The biggest river is the Mississippi River. Why is it the biggest?
because it has the largest amount of water and it is deeper	it has a big body of water	0	The biggest river is the Mississippi River. Why is it the biggest?
dissolve	erode	1	Water can _________________ or break down limestone.
dissolve	erod	1	Water can _________________ or break down limestone.
dissolve	erode	1	Water can _________________ or break down limestone.
dissolve	erocan	1	Water can _________________ or break down limestone.
dissolve	dsingrat	1	Water can _________________ or break down limestone.
dissolve	devolve.	1	Water can _________________ or break down limestone.
break down	distroy	1	Water can dissolve or ____________________ limestone.
break down	disingrat.	1	Water can dissolve or ____________________ limestone.
sand and soil	sand and soul	1	"Water from rivers carry bits of ________________ and ______________, also known as grit that are eventually dropped when the river meets another body of water."
grit	git	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	gril	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	grip	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	girt	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	gerat	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	grift	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	girt	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	gilt	1	"Water from rivers carry bits of sand and soil, also known as ______________, that are eventually dropped when the river meets another body of water."
grit	gite 	1	"Water from rivers carry bits of sand and soil, What are these bits of sand and soil called?"
grit	spit	1	"Water from rivers carry bits of sand and soil, What are these bits of sand and soil called?"
grit	gilt	1	"Water from rivers carry bits of sand and soil, What are these bits of sand and soil called?"
grit	girt	1	"Water from rivers carry bits of sand and soil, What are these bits of sand and soil called?"
to break it down	to disinagrate	0	What does it mean to dissolve something?
to break it down	erode	1	What does it mean to dissolve something?
to break it down	erode	1	What does it mean to dissolve something?
to break it down	erode	1	What does it mean to dissolve something?
to break it down	to make is turn to dust	1	What does it mean to dissolve something?
to break it down	to turn to dust	1	What does it mean to dissolve something?
to break it down	to turn into dust	1	What does it mean to dissolve something?
sandstone	sandstone	0	What forms when sand grains are cemented together?
sandstone	sandstone	0	What forms when sand grains are cemented together?
a river	pond	1	What is another name for a moving body of freshwater?
quartzite	qurtz	1	What is formed when sand gets a lot of heat and pressure?
quartzite	qatzs	1	What is formed when sand gets a lot of heat and pressure?
quartzite	Qarts 	1	What is formed when sand gets a lot of heat and pressure?
the source	the beginning 	0	What is the name of the location where a river begins?
the Missouri River	Mississippi river and Missouri river 	1	What is the name of the longest river in the United States?
limestone	sand stone	1	"What type of rock is formed from shells, skeletons and the remains of old sea life?"
limestone	sandstone	1	"What type of rock is formed from shells, skeletons and the remains of old sea life?"
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
