target	response	Score_Sami	question
sandstone	sand	0	_________________ is a very common rock that is formed when sand grains are cemented together.
iron	ione	0	____________________ is a type of mineral that is also a metal.
quartzite	qurtes	0	____________________ is formed when sand gets a lot of heat and pressure.
quartzite	quirtz	0	____________________ is formed when sand gets a lot of heat and pressure.
mouth; triangle	"mouth triangle
"	0	A delta is a landform that is formed at the ____________________ of a river. It is often shaped like a ______________________.
source	soucor	0	"A river begins at a _________________, which is the original point from which the river flows."
original	begining	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beggining	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	begin	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	begging	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning      	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	start	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beginning	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beggining	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beging	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	starting	0	"A river begins at a source, which is the __________________ point from which the river flows."
original	beging	0	"A river begins at a source, which is the __________________ point from which the river flows."
"body of water, such as a lake or ocean"	lake or ocean	0.5	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	lake or ocean	0.5	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	lake or oeacn	0.5	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	ocean or lake	0.5	"A river ends at a mouth, which is where the river flows into another ________________________."
"body of water, such as a lake or ocean"	lake or ocean	0.5	"A river ends at a mouth, which is where the river flows into another ________________________."
sedimentary	I don't know	0	A rock that is made from other materials is what type of rock?
other materials	other rocks	0.5	A sedimentary rock is a rock that is made from ____________________.
other materials	rocks	0	A sedimentary rock is a rock that is made from ____________________.
other materials	cetiment	0	A sedimentary rock is a rock that is made from ____________________.
other materials	many minerals	0	A sedimentary rock is a rock that is made from ____________________.
other materials	other rock	0.5	A sedimentary rock is a rock that is made from ____________________.
other materials	different minerals. 	0.5	A sedimentary rock is a rock that is made from ____________________.
shells; skeletons; remains	bones skeletons rocks	0.33	"Limestone is a rock that is often formed from the _________________, ___________________, and other ________________ of old sea life."
shells; skeletons; remains	old and differnt  miteral also dead	0	"Limestone is a rock that is often formed from the _________________, ___________________, and other ________________ of old sea life."
shells; skeletons; remains	"skeletons,shells,remains"	1	"Limestone is a rock that is often formed from the _________________, ___________________, and other ________________ of old sea life."
longest	largest	1	The _______________ river in the United States is the Missouri River.
longest	largest	1	The _______________ river in the United States is the Missouri River.
biggest	largest	0	The ___________________ river in the United States is the Mississippi River.
biggest	largest	0	The ___________________ river in the United States is the Mississippi River.
biggest	laergges	0	The ___________________ river in the United States is the Mississippi River.
because it has the largest amount of water and it is deeper	"it has the largest amount of water and the biggest length
"	0	The biggest river is the Mississippi River. Why is it the biggest?
because it has the largest amount of water and it is deeper	because it is very large	0	The biggest river is the Mississippi River. Why is it the biggest?
because it has the largest amount of water and it is deeper	it has a big body of water	0.5	The biggest river is the Mississippi River. Why is it the biggest?
dissolve	erode	0	Water can _________________ or break down limestone.
dissolve	erod	0	Water can _________________ or break down limestone.
dissolve	erode	0	Water can _________________ or break down limestone.
dissolve	erocan	0	Water can _________________ or break down limestone.
dissolve	dsingrat	0	Water can _________________ or break down limestone.
dissolve	devolve.	0	Water can _________________ or break down limestone.
break down	distroy	0	Water can dissolve or ____________________ limestone.
break down	disingrat.	0	Water can dissolve or ____________________ limestone.
sand and soil	sand and soul	0.5	"Water from rivers carry bits of ________________ and ______________, also known as grit that are eventually dropped when the river meets another body of water."
